0.000000	-0.065089	-0.065089
0.010000	-0.065089	-0.065089
0.020000	-0.075210	-0.075210
0.030000	-0.065089	-0.065089
0.040000	-0.075210	-0.075210
0.050000	-0.060029	-0.060029
0.060000	-0.065089	-0.065089
0.070000	-0.060029	-0.060029
0.080000	-0.060029	-0.060029
0.090000	-0.065089	-0.065089
0.100000	-0.070150	-0.070150
0.110000	-0.060029	-0.060029
0.120000	-0.054968	-0.054968
0.130000	-0.044847	-0.044847
0.140000	-0.044847	-0.044847
0.150000	-0.039787	-0.039787
0.160000	-0.029666	-0.029666
0.170000	-0.034726	-0.034726
0.180000	-0.049908	-0.049908
0.190000	-0.039787	-0.039787
0.200000	-0.039787	-0.039787
0.210000	-0.024605	-0.024605
0.220000	-0.024605	-0.024605
0.230000	0.005758	0.005758
0.240000	0.000697	0.000697
0.250000	0.031060	0.031060
0.260000	0.026000	0.026000
0.270000	0.020939	0.020939
0.280000	-0.004363	-0.004363
0.290000	-0.024605	-0.024605
0.300000	-0.049908	-0.049908
0.310000	-0.049908	-0.049908
0.320000	-0.049908	-0.049908
0.330000	-0.044847	-0.044847
0.340000	-0.060029	-0.060029
0.350000	-0.044847	-0.044847
0.360000	-0.054968	-0.054968
0.370000	-0.044847	-0.044847
0.380000	-0.075210	-0.075210
0.390000	-0.029666	-0.029666
0.400000	0.142392	0.142392
0.410000	0.461204	0.461204
0.420000	0.623141	0.623141
0.430000	0.051302	0.051302
0.440000	-0.221965	-0.221965
0.450000	-0.216905	-0.216905
0.460000	-0.176421	-0.176421
0.470000	-0.100513	-0.100513
0.480000	-0.070150	-0.070150
0.490000	-0.044847	-0.044847
0.500000	-0.044847	-0.044847
0.510000	-0.029666	-0.029666
0.520000	-0.034726	-0.034726
0.530000	-0.014484	-0.014484
0.540000	-0.014484	-0.014484
0.550000	0.000697	0.000697
0.560000	0.000697	0.000697
0.570000	0.015879	0.015879
0.580000	0.026000	0.026000
0.590000	0.046242	0.046242
0.600000	0.056363	0.056363
0.610000	0.091787	0.091787
0.620000	0.101908	0.101908
0.630000	0.142392	0.142392
0.640000	0.142392	0.142392
0.650000	0.167694	0.167694
0.660000	0.172755	0.172755
0.670000	0.157573	0.157573
0.680000	0.152513	0.152513
